Readable_Time,Severity_Rank,Alert Name,Source IP,Destination IP,Description,Danger_Analysis,Recommended_Action
2025-11-26 16:29:52,1,WEB-ATTACK Directory Traversal Attempt,192.168.1.184,3.170.103.6,"An attempt was detected to access files outside the web root folder (e.g., using '../').","CRITICAL. If successful, this allows attackers to read sensitive system files (like /etc/passwd) or configuration data.",Immediate: Block Source IP. Check web logs to see if a 200 OK response was returned.
2025-11-26 16:24:26,1,WEB-ATTACK Directory Traversal Attempt,192.168.1.184,3.170.103.54,"An attempt was detected to access files outside the web root folder (e.g., using '../').","CRITICAL. If successful, this allows attackers to read sensitive system files (like /etc/passwd) or configuration data.",Immediate: Block Source IP. Check web logs to see if a 200 OK response was returned.
2025-11-26 16:20:19,1,WEB-ATTACK Directory Traversal Attempt,192.168.1.184,3.170.103.11,"An attempt was detected to access files outside the web root folder (e.g., using '../').","CRITICAL. If successful, this allows attackers to read sensitive system files (like /etc/passwd) or configuration data.",Immediate: Block Source IP. Check web logs to see if a 200 OK response was returned.
2025-11-26 16:29:38,2,TELNET connection attempt,192.168.1.184,192.168.1.181,Unencrypted remote command-line connection attempt detected (Port 23).,HIGH. Telnet sends everything (including root passwords) in cleartext. Attackers can easily sniff credentials.,Disable Telnet services immediately. Enforce SSH usage.
2025-11-26 16:24:00,2,TELNET connection attempt,192.168.1.184,192.168.1.181,Unencrypted remote command-line connection attempt detected (Port 23).,HIGH. Telnet sends everything (including root passwords) in cleartext. Attackers can easily sniff credentials.,Disable Telnet services immediately. Enforce SSH usage.
2025-11-26 16:29:42,3,FTP connection attempt,192.168.1.184,192.168.1.181,File Transfer Protocol connection attempt detected (Port 21).,MEDIUM. FTP transmits data and credentials in cleartext. Vulnerable to Man-in-the-Middle attacks.,Verify if transfer is authorized. Switch to SFTP or FTPS.
2025-11-26 16:24:09,3,FTP connection attempt,192.168.1.184,192.168.1.181,File Transfer Protocol connection attempt detected (Port 21).,MEDIUM. FTP transmits data and credentials in cleartext. Vulnerable to Man-in-the-Middle attacks.,Verify if transfer is authorized. Switch to SFTP or FTPS.
2025-11-26 16:29:48,4,POLICY VIOLATION: Facebook Access,192.168.1.184,192.168.1.254,Traffic detected destined for social media (Facebook) domains.,"LOW (Policy). Risks include productivity loss, tracking, and potential malware distribution vectors.",Review corporate usage policy. Scan source host for unauthorized browser extensions.
2025-11-26 16:29:48,4,POLICY VIOLATION: Facebook Access,192.168.1.184,192.168.1.254,Traffic detected destined for social media (Facebook) domains.,"LOW (Policy). Risks include productivity loss, tracking, and potential malware distribution vectors.",Review corporate usage policy. Scan source host for unauthorized browser extensions.
2025-11-26 16:24:18,4,POLICY VIOLATION: Facebook Access,192.168.1.184,192.168.1.254,Traffic detected destined for social media (Facebook) domains.,"LOW (Policy). Risks include productivity loss, tracking, and potential malware distribution vectors.",Review corporate usage policy. Scan source host for unauthorized browser extensions.
2025-11-26 16:24:18,4,POLICY VIOLATION: Facebook Access,192.168.1.184,192.168.1.254,Traffic detected destined for social media (Facebook) domains.,"LOW (Policy). Risks include productivity loss, tracking, and potential malware distribution vectors.",Review corporate usage policy. Scan source host for unauthorized browser extensions.
2025-11-26 16:29:28,5,ICMP Ping,192.168.1.184,192.168.1.181,ICMP Echo Request (Ping) packet detected.,"INFO/LOW. Standard connectivity test, but can be used by attackers to map the network (Reconnaissance).",Monitor for high-volume scanning patterns. Ignore if part of standard maintenance.
2025-11-26 16:29:28,5,ICMP Ping,192.168.1.181,192.168.1.184,ICMP Echo Request (Ping) packet detected.,"INFO/LOW. Standard connectivity test, but can be used by attackers to map the network (Reconnaissance).",Monitor for high-volume scanning patterns. Ignore if part of standard maintenance.
2025-11-26 16:23:47,5,ICMP Ping,192.168.1.184,192.168.1.181,ICMP Echo Request (Ping) packet detected.,"INFO/LOW. Standard connectivity test, but can be used by attackers to map the network (Reconnaissance).",Monitor for high-volume scanning patterns. Ignore if part of standard maintenance.
2025-11-26 16:23:47,5,ICMP Ping,192.168.1.181,192.168.1.184,ICMP Echo Request (Ping) packet detected.,"INFO/LOW. Standard connectivity test, but can be used by attackers to map the network (Reconnaissance).",Monitor for high-volume scanning patterns. Ignore if part of standard maintenance.
2025-11-26 16:23:16,5,ICMP Ping,192.168.1.254,192.168.1.181,ICMP Echo Request (Ping) packet detected.,"INFO/LOW. Standard connectivity test, but can be used by attackers to map the network (Reconnaissance).",Monitor for high-volume scanning patterns. Ignore if part of standard maintenance.
2025-11-26 16:24:53,99,ET INFO Microsoft Connection Test,192.168.1.225,23.215.15.185,General network alert detected by Suricata.,Unknown. Requires manual investigation.,Investigate raw logs.
2025-11-26 16:24:09,99,SURICATA STREAM Packet with invalid timestamp,192.168.1.181,192.168.1.184,General network alert detected by Suricata.,Unknown. Requires manual investigation.,Investigate raw logs.
2025-11-26 16:16:41,99,ET INFO Spotify P2P Client,192.168.1.169,192.168.1.255,General network alert detected by Suricata.,Unknown. Requires manual investigation.,Investigate raw logs.
2025-11-26 16:16:35,99,TEST: Raw Content Found,192.168.1.184,3.170.103.54,General network alert detected by Suricata.,Unknown. Requires manual investigation.,Investigate raw logs.
